CBR_Flow_Rate,Reno_1_1_4,Reno_1_5_6,NewReno_2,Reno_2,Vegas_3_1_4,Vegas_3_5_6,NewReno_4,Vegas_4
1,63.74,63.13,63.431,63.13,62.972,62.85,62.887,62.956
2,63.573,63.546,63.145,63.556,62.895,62.931,62.935,62.873
3,64.109,63.226,63.525,63.236,62.778,62.845,62.971,62.989
4,64.296,63.413,63.731,63.407,63.114,62.988,62.993,63.076
5,66.391,67.629,66.115,67.483,63.68,70.565,64.942,65.477
6,68.094,67.245,69.048,66.572,68.019,69.75,68.803,69.137
7,69.504,69.087,68.504,70.722,68.964,69.433,67.98,67.116
8,76.308,75.112,70.69,80.939,68.983,69.462,71.293,69
9,93.233,108.45,93.453,91.213,69.516,73.742,78.223,82.399
10,137.113,106.428,137.113,106.428,66.499,66.924,81.459,69.706